id,name,rgb,is_trans
-1,[Unknown],0033B2,0
0,Black,05131D,0
1,Blue,0055BF,0
2,Green,237841,0
3,Dark Turquoise,008F9B,0
4,Red,C91A09,0
5,Dark Pink,C870A0,0
6,Brown,583927,0
7,Light Gray,9BA19D,0
8,Dark Gray,6D6E5C,0
9,Light Blue,B4D2E3,0
10,Bright Green,4B9F4A,0
11,Light Turquoise,55A5AF,0
12,Salmon,F2705E,0
13,Pink,FC97AC,0
14,Yellow,F2CD37,0
15,White,FFFFFF,0
17,Light Green,C2DAB8,0
18,Light Yellow,FBE696,0
19,Tan,E4CD9E,0
20,Light Violet,C9CAE2,0
21,Glow In Dark Opaque,D4D5C9,0
22,Purple,81007B,0
23,Dark Blue-Violet,2032B0,0
25,Orange,FE8A18,0
26,Magenta,923978,0
27,Lime,BBE90B,0
28,Dark Tan,958A73,0
29,Bright Pink,E4ADC8,0
30,Medium Lavender,AC78BA,0
31,Lavender,E1D5ED,0
32,Trans-Black IR Lens,635F52,1
33,Trans-Dark Blue,0020A0,1
34,Trans-Green,84B68D,1
35,Trans-Bright Green,D9E4A7,1
36,Trans-Red,C91A09,1
40,Trans-Brown,635F52,1
41,Trans-Light Blue,AEEFEC,1
42,Trans-Neon Green,F8F184,1
43,Trans-Very Lt Blue,C1DFF0,1
45,Trans-Dark Pink,DF6695,1
46,Trans-Yellow,F5CD2F,1
47,Trans-Clear,FCFCFC,1
52,Trans-Purple,A5A5CB,1
54,Trans-Neon Yellow,DAB000,1
57,Trans-Neon Orange,FF800D,1
60,Chrome Antique Brass,645A4C,0
61,Chrome Blue,6C96BF,0
62,Chrome Green,3CB371,0
63,Chrome Pink,AA4D8E,0
64,Chrome Black,1B2A34,0
68,Very Light Orange,F3CF9B,0
69,Light Purple,CD6298,0
70,Reddish Brown,582A12,0
71,Light Bluish Gray,A0A5A9,0
72,Dark Bluish Gray,6C6E68,0
73,Medium Blue,5A93DB,0
74,Medium Green,73DCA1,0
75,Speckle Black-Copper,05131D,0
76,Speckle DBGray-Silver,6C6E68,0
77,Light Pink,FECCCF,0
78,Light Nougat,F6D7B3,0
79,Milky White,FFFFFF,0
80,Metallic Silver,A5A9B4,0
81,Metallic Green,899B5F,0
82,Metallic Gold,DBAC34,0
84,Medium Nougat,AA7D55,0
85,Dark Purple,3F3691,0
86,Light Brown,7C503A,0
89,Royal Blue,4C61DB,0
92,Nougat,D09168,0
100,Light Salmon,FEBABD,0
110,Violet,4354A3,0
112,Medium Bluish Violet,6874CA,0
114,Glitter Trans-Dark Pink,DF6695,1
115,Medium Lime,C7D23C,0
117,Glitter Trans-Clear,FFFFFF,1
118,Aqua,B3D7D1,0
120,Light Lime,D9E4A7,0
125,Light Orange,F9BA61,0
